compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
41621-18F4,O=C(NCc1cccc(C(F)(F)F)c1Cl)[C@@H]1CCC(=O)N1CCF,36441909,SD rat,male,275.0,802.79,-0.55,0.16,0.28,0.73,0.37,0.69,0.24,0.25,,0.27,,,0.39,,,41621,10.1021/acschemneuro.2c00506
41640-11CMBMP,COc1ccc(-c2ccc3oc(=O)n(CC(=O)N(C)c4ccccc4)c3c2)cc1,24484439,ddY mouse,male,35.0,151.0,0.2,0.58,0.47,2.81,16.96,13.51,,9.82,2.3,,,,5.91,,,41640,10.1111/jnc.12670
41656-11CPK11195,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F12,COc1ccc(OC)c(CN(C(=O)CF)c2ccccc2Sc2ccccc2)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F14,COc1ccc(OC)c(CN(C(=O)CF)c2cccc3cc(C)oc23)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F15,CC(=O)N(Cc1ccccc1OCCF)c1cccnc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F16,COc1ccc(OCCF)c(CN(C(C)=O)c2cccnc2Oc2ccccc2)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F17,COc1ccccc1CN(C(=O)CF)c1cccnc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F19,COc1ccc(OC)c(CN(C(=O)CF)c2cc(F)ccc2Oc2ccccc2)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F21,COc1ncccc1CN(C(=O)CF)c1ccccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F27,O=C(CF)N(Cc1cccc2c1OCC2)c1ccccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F28,COc1ncccc1CN(C(=O)CF)c1cc(F)ccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F29,O=C(CF)N(Cc1cccc2c1OCCO2)c1ccccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F30,O=C(CF)N(Cc1cccc2c1OCO2)c1ccccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F31,CC1(C)Cc2cccc(CN(C(=O)CF)c3ccccc3Oc3ccccc3)c2O1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F7,COc1ccc(OC)c(CN(C(=O)CF)c2ccccc2OC2CCCC2)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18F8,COc1ccccc1CN(C(=O)CF)c1ccccc1OC1CCCC1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18FFE-PPA,CC(=O)N(Cc1cccc(OCCF)c1)c1cnccc1Oc1ccccc1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41656-18FPBR06,COc1ccc(OC)c(CN(C(=O)CF)c2ccccc2Oc2ccccc2)c1,22902658,Wistar rat,male,250.0,54.0,,,,,,,,,,,,,,,,41656,10.1016/j.bmcl.2012.07.093
41681-b18F1,O=[N+]([O-])c1nccn1[C@@H]1O[C@H](C(O)CF)[C@H](O)[C@@H]1O,27614920,Foxn1nu mouse,female,28.1,191.91,,,,,,,,,,,,,,,,41681,10.1016/j.bmc.2016.08.053
41688-11C1b,COc1ccccc1Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,34980783,ddY mouse,male,37.5,113.53,-1.03,0.85,2.38,6.22,1.6,2.17,0.57,1.08,3.62,,,,1.85,,2.12,41688,10.1248/bpb.b21-00608
41688-11C1c,COc1cccc(Oc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)c1,34980783,ddY mouse,male,37.5,113.53,0.08,1.25,1.15,9.65,0.72,1.55,0.5,0.95,1.98,,,,0.68,,5.38,41688,10.1248/bpb.b21-00608
41688-11C1d,COc1ccc(Oc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,34980783,ddY mouse,male,37.5,113.53,-0.47,0.38,0.6,4.32,0.52,0.85,0.28,0.57,0.8,,,,0.55,,2.52,41688,10.1248/bpb.b21-00608
41692-18FPRIMATX,CC1=NN(Cc2cc(Cl)ccc2/C=C/C(=O)N2CCN(Cc3ccc(OCCF)cc3)C[C@H]2C)NN1,34319110,NSG mouse,female,,81.09,-0.92,0.47,1.18,6.78,2.8,6.45,0.66,1.78,8.29,0.77,4.11,,1.74,,1.56,41692,10.1021/acs.molpharmaceut.1c00265
41738-R18F13,O=C(c1ccco1)N1CCN([C@@H]2CC(=O)N(c3ccc(-c4ccc(F)cc4)cc3)C2)CC1,35089028,C57BL/6 mouse,,,460.73,,,,,,,,,,,,,,,,41738,10.1021/acs.jmedchem.1c01706
41787-11C6,COc1ccc(C(=O)N(C)c2nc(-c3cc(NC(C)C)ncn3)cs2)cc1,22316010,C57BL/6 mouse,male,35.0,129.74,1.06,1.85,0.64,3.97,1.57,2.92,0.52,2.36,3.97,,,,0.81,,,41787,10.1021/jm201590g
41794-11CTPMP,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],27123902,Kunming mouse,female,,10.0,-2.34,0.03,0.31,1.62,0.63,3.85,0.14,0.73,,0.3,0.63,,6.49,,,41794,10.1016/j.ejmech.2016.04.036
41794-18FFTPMP,FC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],27123902,Kunming mouse,female,,10.0,-0.48,0.09,0.14,2.86,0.31,3.6,0.25,0.65,,0.05,0.58,,8.65,,,41794,10.1016/j.ejmech.2016.04.036
41806-18F23,CC(=O)OCC(F)CCN1CCN(C(c2ccccc2)c2ccccc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F27,CC(=O)OCC(F)CCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F38,CC(=O)OCCCCN1CCC(C(O)(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F39,OCCCCN1CCC(C(O)(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F40,OCCCCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F42,O=CCCCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F43,CCOC(=O)CCCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F44,O=C(O)CCCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F46,O=C(O)CCCN1CCC(C(=O)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41806-18F47,CCOC(=O)CCCN1CCC(C(=O)c2ccc(F)cc2)CC1,26161456,Swiss Albino mouse,female,20.0,47.3,,,,,,,,,,,,,,,,41806,10.1021/acs.jmedchem.5b00652
41824-18FcEFQ,CCc1cc2cc(C(=O)[C@H]3CC[C@@H](OC)CC3)ccc2nc1F,27501957,BALB/c mouse,male,23.0,1959.68,-0.33,1.01,1.4,12.98,2.5,7.68,1.64,2.43,16.94,10.79,21.14,,1.76,,,41824,10.1177/0271678x16663948
41830-18F-Ala-BF3,C[C@H]([NH3+])[B-](F)(F)F,29308900,nude mouse,female,17.0,200.02,-2.13,0.29,2.44,2.02,3.58,23.22,1.19,2.74,2.62,2.88,1.53,,1.49,0.76,2.84,41830,10.1021/acs.molpharmaceut.7b00884
41831-18FMCH,C[N+](C)(CF)CCO.[Cl-],26852231,mouse,,,283.82,,,,,,,,,,,,,,,,41831,10.1186/s12933-016-0340-6
41876-18F9,N#CC1(c2ccccc2)CCN(Cc2ccc(OCCF)cc2)CC1,27277387,ICR mouse,male,,8.1,0.72,4.84,2.35,6.17,4.42,4.59,2.53,4.88,,3.95,,,3.28,,,41876,10.1002/jlcr.3408
41904-18F5,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(F)nc1,24480780,SD rat,female,225.0,189.2,3.1,0.42,0.02,4.86,0.93,0.91,0.12,0.82,,,,,0.14,,,41904,10.1016/j.nucmedbio.2013.12.014
41904-18F6,O=C(NCCCCN1CCN(c2ccccc2Cl)CC1)c1ccc(-c2cccc(F)n2)cc1,24480780,SD rat,female,225.0,189.2,1.27,0.16,0.04,3.13,0.7,0.87,0.08,1.16,,,,,0.17,,,41904,10.1016/j.nucmedbio.2013.12.014
41910-124IOIH,O=C(O)CNC(=O)c1ccccc1I,27434486,SD rat,female,261.0,100.01,,,0.04,0.02,0.03,0.22,0.01,0.02,0.06,0.02,0.32,,0.01,,,41910,10.1016/j.apradiso.2016.07.002
41912-R18F6b,CC[C@@H](C)N(C)C(=O)c1cc2ccccc2c(-c2cccnc2F)n1,31125895,C57BL/6 mouse,female,16.5,216.24,0.51,1.5,0.9,4.5,48.0,19.0,1.6,12.0,6.72,4.0,3.0,,25.0,0.8,,41912,10.1016/j.ejmech.2019.05.008
41914-18FFEC,O=c1ccc2ccc(OCCF)cc2o1,23463940,NOD-SCID mouse,,,100.0,-0.56,0.88,1.54,33.76,1.18,6.97,0.73,1.89,3.14,2.09,0.89,,1.16,,0.77,41914,10.3109/14756366.2013.773994
41914-18FFU104,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(F)cc2)cc1,23463940,NOD-SCID mouse,,,100.0,-4.47,0.16,13.92,6.76,5.71,9.71,1.19,6.48,13.66,2.52,2.94,,3.46,,3.33,41914,10.3109/14756366.2013.773994
41929-18FMK9470,Cc1ccc(OC(C)(C)C(=O)N[C@@H](C)[C@@H](Cc2ccc(OCCF)cc2)c2cccc(C#N)c2)nc1,28648984,SD rat,male,415.0,695.0,0.35,0.44,0.31,0.82,0.13,0.14,,,0.48,0.2,,,0.15,,,41929,10.1016/j.nucmedbio.2017.06.003
41952-18FDIFA,O=[N+]([O-])c1nccn1CC(CO)(CO)CF,30836255,BALB/c mouse,female,16.5,810.9,,,1.52,3.21,1.79,3.26,1.76,,3.54,,,,2.02,,,41952,10.1016/j.nucmedbio.2019.01.008
41952-18FF1,O=[N+]([O-])c1nc(CO)cn1CC(CO)(CO)CF,30836255,BALB/c mouse,female,16.5,810.9,,,0.6,1.14,0.89,1.86,1.25,,1.79,,,,1.32,,,41952,10.1016/j.nucmedbio.2019.01.008
41952-18FF2,O=[N+]([O-])c1nccn1CCC(CO)(CO)CF,30836255,BALB/c mouse,female,16.5,810.9,,,2.61,4.24,2.75,9.85,2.66,,4.82,,,,3.24,,,41952,10.1016/j.nucmedbio.2019.01.008
41952-18FFMISO,O=[N+]([O-])c1nccn1CC(F)CO,30836255,BALB/c mouse,female,16.5,810.9,,,4.09,5.53,4.14,8.52,3.79,,8.66,,,,4.76,,,41952,10.1016/j.nucmedbio.2019.01.008
41955-19F3,FCCOCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,22133630,BALB/c mouse,,19.0,200.0,,,0.23,2.03,4.01,16.86,4.42,1.95,4.67,2.44,4.72,,19.96,,7.35,41955,10.1016/j.bmcl.2011.11.005
42027-18FWC-4-116,O.O=C1C(=O)N(CC2=NC(CCF)N=N2)c2ccc(S(=O)N3CCC[C@H]3COc3cccnc3)cc21,25344147,nude mouse,female,22.5,32.44,-2.48,0.03,0.36,0.83,0.83,0.41,0.55,0.2,,0.12,,,0.17,0.4,,42027,10.1007/s11307-014-0802-8
42027-18FWC-4-35,O=C1C(=O)N(Cc2ccc(OCCOCCOCCF)cc2)c2ccc(S(=O)N3CCC[C@H]3COc3ccccc3)cc21,25344147,nude mouse,female,22.5,32.44,-0.61,2.05,3.77,3.48,3.0,2.58,1.84,2.72,,2.44,,,2.96,1.5,,42027,10.1007/s11307-014-0802-8
42028-18F10b,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2cc(F)ccn2)CC1,25171752,SD rat,male,200.0,500.0,,0.3,,0.59,0.12,0.28,0.06,0.1,0.95,,0.24,,0.08,0.32,,42028,10.1016/j.ejmech.2014.07.096
42087-11CPT119,CCCCCc1ccc(Oc2ccccc2C#N)c(O)c1,25217335,swiss mouse,male,30.0,100.01,,,0.34,6.91,1.32,0.93,,0.19,,,,,,,,42087,10.1016/j.ejmech.2014.09.008
42097-18FIPFP,CC(C)CC(CC(=O)NO)C(=O)CC(Cc1ccc(I)cc1)C(=O)CC(CCCCNC(=O)c1ccc(F)cc1)C(N)=O,31902888,BALB/c mouse,male,20.0,172.99,,,,,,,,,,,,,,,,42097,10.1248/yakushi.19-00188
42100-18FFEBMP,CN(C(=O)Cn1c(=O)oc2ccc(-c3ccc(OCCF)cc3)cc21)c1ccccc1,26155312,ddY mouse,male,35.0,47.03,-0.08,1.16,1.26,3.25,12.55,15.58,2.42,8.2,5.77,3.13,,,6.43,,,42100,10.7150/thno.12027
42111-11C1,Cc1ccc(-c2csc(N3CCN(C(=O)Nc4onc(C)c4C)CC3)n2)c(F)c1,26740152,ddY mouse,male,35.0,54.06,4.32,4.5,0.06,16.52,5.31,27.25,0.11,2.11,9.05,,,,0.23,,,42111,10.1016/j.bmc.2015.12.026
42123-11CCMDC,C.Cc1ccc(C2CCN(c3ccn(CC4C=C4)c(=O)c3C#N)CC2)cc1,28049619,ddY mouse,male,35.0,54.06,-0.77,0.56,1.21,4.67,1.28,2.37,0.53,2.14,2.73,,,,0.96,,7.09,42123,10.1016/j.bmc.2016.12.011
42131-11C1,COc1ccc(-c2cc(C(N)=O)ncc2OCc2ccnc(C)c2)c(F)c1,30611634,ddY mouse,male,34.0,54.06,-0.54,0.38,0.65,16.08,2.5,2.95,1.38,2.01,3.55,,2.27,,2.29,,1.44,42131,10.1016/j.bmc.2018.12.025
42133-11CTKF,CNc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,27527142,C57/B6 mouse,male,20.0,450.0,0.29,2.1,1.57,7.02,1.52,2.06,1.01,,21.52,1.01,2.3,,2.51,,,42133,10.3390/molecules21081019
42151-18F-AmBF3-B9858,C[N+](C)(Cc1cn(CC(=O)NC2CCN(CC(=O)N[C@@H](CCCCN)C(=O)NC(CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@@H]3C(=O)N3CC(O)C[C@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N3C4=C(CCCC4)CC3C(=O)O)C3Cc4ccccc4C3)C3Cc4ccccc4C3)CC2)nn1)C[B-](F)(F)F,25629412,NOD-SCID mouse,male,,100.0,-3.54,0.02,0.69,0.58,0.7,36.2,0.19,0.43,0.68,0.48,,,0.39,0.13,0.18,42151,10.1021/acs.molpharmaceut.5b00003
42151-18F-AmBF3-B9958,C[N+](C)(Cc1cn(CC(=O)NC2CCN(CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@@H]3C(=O)N3CC(O)C[C@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N3Cc4ccccc4CC3C(=O)N[C@H](C(=O)O)C3CCCC3)C3CCCC3)CC2)nn1)C[B-](F)(F)F,25629412,NOD-SCID mouse,male,,100.0,-3.37,0.01,0.29,0.25,0.31,30.9,0.09,0.32,0.31,0.33,,,0.13,0.05,0.07,42151,10.1021/acs.molpharmaceut.5b00003
42152-18FFPC,C[C@@H](Oc1cc(-c2cnn(C3CCN(CCOCCOCCOCCF)CC3)c2)cnc1N)C1=C(Cl)C(F)=CCC1Cl,32631560,BALB/c mouse,male,17.0,100.0,,,4.77,30.61,8.5,29.4,4.88,10.64,6.85,0.64,5.64,,2.67,,,42152,10.1016/j.bmc.2020.115577
42156-11CCEP-32496,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,24930831,mouse,male,30.0,486.5,-2.03,0.08,0.61,12.69,2.24,4.91,1.06,1.36,13.53,,,,1.98,,2.66,42156,10.1016/j.bmcl.2014.05.045
42161-18F-FEDBT,COc1ccc(-c2nc3ccc(OCCF)cc3s2)cc1OC,28619538,NOD-SCID mouse,female,,100.0,-0.26,1.82,2.37,2.07,1.71,1.95,1.64,1.49,1.91,5.11,1.13,2.2,1.8,,1.31,42161,10.1016/j.bmcl.2017.05.079
42163-18F3,O=C(Nc1ccc(CCF)cc1)c1cc([N+](=O)[O-])ccc1Cl,21907585,rat,male,550.0,135.0,1.36,0.11,0.03,0.09,0.05,0.28,0.01,,,0.17,,,0.02,0.04,,42163,10.1016/j.nucmedbio.2011.07.002
42164-18FSB1,COc1cc(NCCCF)cc(OC)c1NC(=O)c1ccc(Cc2cc3c(cc2C)CCCC3(C)C)o1,27236283,SD rat,male,525.0,324.0,-0.56,0.04,0.07,1.05,0.24,0.45,0.16,0.28,0.28,0.22,0.24,,0.36,,0.5,42164,10.1016/j.nucmedbio.2016.05.003
42164-18FSB2,COc1cc(NCCCF)cc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,27236283,SD rat,male,525.0,324.0,-0.41,0.04,0.06,0.66,0.28,0.25,0.13,0.18,0.19,0.14,0.15,,0.23,,0.28,42164,10.1016/j.nucmedbio.2016.05.003
42164-18FSB3,COc1cc(OCCF)cc(OC)c1NC(=O)c1ccc(Cc2cc3c(cc2C)CCCC3(C)C)o1,27236283,SD rat,male,525.0,324.0,-0.15,0.06,0.07,0.63,0.15,0.24,0.11,0.13,0.21,0.08,0.14,,0.17,,0.26,42164,10.1016/j.nucmedbio.2016.05.003
42164-18FSB4,COc1cc(OCCF)cc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,27236283,SD rat,male,525.0,324.0,-0.61,0.06,0.11,0.57,0.28,0.28,0.14,0.15,0.34,0.09,0.18,,0.24,,0.35,42164,10.1016/j.nucmedbio.2016.05.003
42168-R-11Cemopamil,CC(C)[C@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,26429767,ddY mouse,male,26.0,62.17,0.29,0.62,0.47,3.47,2.88,2.88,0.78,1.84,2.59,,,,0.59,,4.0,42168,10.1016/j.nucmedbio.2015.09.001
42168-S-11Cemopamil,CC(C)[C@@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,26429767,ddY mouse,male,26.0,40.54,0.0,0.38,0.38,4.97,4.38,3.31,0.81,1.69,3.28,,,,0.84,,4.12,42168,10.1016/j.nucmedbio.2015.09.001
42176-18F1,N=C(N)NC[C@@H](CCCF)C[C@H](N)C(=O)O,31563014,nude mouse,female,14.0,34.87,-0.89,0.09,0.22,4.34,0.84,2.94,0.39,0.53,2.35,2.01,0.93,,0.34,,3.26,42176,10.1016/j.ejmech.2019.111730
42190-11Cisoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,32532591,SD rat,male,258.0,783.87,-1.7,0.17,0.93,0.83,0.55,5.1,0.37,0.44,1.87,0.32,1.8,,0.34,,4.1,42190,10.1016/j.nucmedbio.2020.06.002
42245-131ICHIBA-1001,O=C(Oc1ccc(I)cc1)N1CCN2CCC1CC2,23936161,Kunming mouse,male,22.0,49.95,0.31,6.28,4.59,21.56,10.5,8.83,2.58,6.56,11.3,2.92,7.36,,3.63,,,42245,10.1371/journal.pone.0070188
42249-18F4a,CNc1ccc2nc(-c3ccc(OCCF)cc3)cnc2c1,23047223,ICR mouse,male,21.0,9.99,-0.5,3.17,5.24,5.0,3.77,3.79,,3.04,18.75,6.2,2.5,,4.24,,,42249,10.1016/j.ejmech.2012.08.031
42249-18F4b,CNc1ccc2nc(-c3ccc(OCCOCCOCCF)cc3)cnc2c1,23047223,ICR mouse,male,21.0,9.99,-0.88,0.64,1.54,4.89,1.15,1.65,,0.94,39.02,1.78,6.53,,1.03,,,42249,10.1016/j.ejmech.2012.08.031
42258-18F8,CCN(CCNC(=O)c1cnc2cc(I)ccc2n1)CCOCCOCCOCCF,24044531,C57BL/6 mouse,male,23.0,486.54,0.25,1.82,1.42,2.56,1.86,3.46,1.17,3.72,7.23,1.4,4.41,,2.72,,2.09,42258,10.1021/jm400877v
42258-18F9,CCN(CCNC(=O)c1cnc2cc(I)ccc2n1)CCOCCOCCOCCOCCOCCOCCOCCF,24044531,C57BL/6 mouse,male,23.0,297.33,-0.11,1.03,1.15,2.02,1.75,3.6,1.07,2.35,6.78,1.82,5.87,,1.58,,2.63,42258,10.1021/jm400877v
42260-18F-FPIT,Cc1c(-c2ccc3c(c2)CN(C(C)C)C3=O)nnn1-c1cccnc1F,21668889,SD rat,male,230.0,91.9,0.92,0.8,0.32,1.59,0.94,1.16,0.26,0.68,1.28,0.55,,,0.48,,0.91,42260,10.1111/j.1471-4159.2011.07348.x
42267-18F13,O=C(CCCCc1ccccc1)N1CCN(Cc2ccc(OCCF)cc2)CC1,30991462,ICR mouse,male,,8.1,0.18,2.38,1.98,22.24,2.36,3.4,1.45,3.22,16.28,3.73,2.89,,1.91,,,42267,10.1002/jlcr.3738
42267-18F14,O=C(CCc1ccccc1)N1CCN(Cc2ccc(OCCF)cc2)CC1,30991462,ICR mouse,male,,8.1,0.21,1.82,1.47,19.85,2.57,3.74,1.37,2.53,24.62,1.99,4.21,,1.83,,,42267,10.1002/jlcr.3738
42267-18F16,FCCOc1ccc(CN2CCN(CCCc3ccccc3)CC2)cc1,30991462,ICR mouse,male,,8.1,2.7,8.77,0.59,7.46,15.2,13.11,2.74,9.15,11.62,3.67,1.54,,7.02,,,42267,10.1002/jlcr.3738
42269-18F1,C[C@@H](Oc1cc(-c2cnn(C3CCN(CCF)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,31425908,nude mouse,female,19.0,100.0,,1.8,,3.7,,2.2,1.2,,,,,,1.6,,,42269,10.1016/j.ejmech.2019.111571
42269-18F4,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1c(c3ccc(C#N)cc3n1CCF)C2=O,31425908,nude mouse,female,19.0,100.0,,1.5,,10.2,,4.9,2.0,,,,,,2.0,,,42269,10.1016/j.ejmech.2019.111571
42269-18F9,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCN(CCF)CC1,31425908,nude mouse,female,19.0,100.0,,4.0,,6.4,,5.7,2.1,,,,,,2.6,,,42269,10.1016/j.ejmech.2019.111571
42274-2-18F-FBPO,N#CCCn1nc(-c2ccc(OCc3ccccc3F)cc2)oc1=O,31215665,ddY mouse,male,,5.0,1.25,1.15,0.33,10.82,2.71,1.12,,0.3,,8.82,,,2.12,,1.17,42274,10.1002/jlcr.3779
42279-11C-CEP-32496,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,30251592,BALB/c mouse,female,18.0,178.0,-2.17,0.15,1.31,25.23,5.16,9.77,2.63,3.35,14.76,,,,4.69,,6.97,42279,10.1177/1536012118795952
42287-18FVC701,CN(Cc1ccccc1)C(=O)c1nc2ccccc2c(-c2ccccc2)c1CF,26044669,SD rat,male,225.0,74.6,2.12,0.17,0.02,0.58,5.5,2.33,0.43,3.78,1.82,0.56,,,3.9,,,42287,10.2310/7290.2015.00007
42289-18F5,Cc1ccc2c(=O)n(-c3ccc(OCCF)cc3)c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc2c1,30516998,ddY mouse,male,38.0,51.36,0.62,0.13,0.07,0.57,0.08,0.13,0.08,0.06,3.46,0.07,1.11,,0.08,,0.08,42289,10.1021/acs.jmedchem.8b01366
42289-18F8,Cc1ccc2c(=O)n(-c3ccc(OCF)cc3)c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc2c1,30516998,ddY mouse,male,38.0,67.58,0.92,0.15,0.06,0.7,0.08,0.16,0.1,0.05,12.87,0.87,8.53,,0.07,,0.08,42289,10.1021/acs.jmedchem.8b01366
42289-18F9,[2H]C([2H])(F)Oc1ccc(-n2c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc3cc(C)ccc3c2=O)cc1,30516998,ddY mouse,male,38.0,35.14,0.49,0.18,0.11,1.03,0.13,0.31,0.1,0.09,5.65,0.92,2.37,,0.12,,0.14,42289,10.1021/acs.jmedchem.8b01366
42292-18F5,CN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,30206613,ddY mouse,male,34.0,229.76,-0.1,0.38,0.42,9.94,23.92,15.47,2.12,10.17,5.04,2.32,,,8.03,,,42292,10.1039/c8ob01700j
42292-18F6,CN(C(=O)Cn1c(=O)oc2ccc(-c3ccc(F)cc3)cc21)c1ccccc1,30206613,ddY mouse,male,34.0,113.53,-0.28,0.64,0.85,6.48,11.24,13.35,1.82,6.82,16.83,2.65,,,4.31,,,42292,10.1039/c8ob01700j
42293-18F5,CN(Cc1cn(-c2ccc(OCCCF)cc2)nn1)S(=O)(=O)c1ccc(CN2CCOCC2)cc1,31843463,nude mouse,male,20.0,150.0,,,,,,,,,,,,,,,,42293,10.1016/j.bmc.2019.115240
42294-18F12,O=C(O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(F)cc1)C(=O)O)C(=O)O,26629713,NOD-SCID mouse,male,25.0,20.0,,,1.07,12.5,0.85,6.97,0.27,0.45,0.57,0.72,,,0.25,0.15,,42294,10.1021/acs.jmedchem.5b01268
